host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,Year
Emily,Manhattan,Upper West Side,40.78293,-73.97667,Entire home/apt,175,3,4,6/18/2016,2016
Brian,Manhattan,Lower East Side,40.71818,-73.9935,Entire home/apt,249,1,6,12/30/2015,2015
Charlotte,Manhattan,Tribeca,40.71959,-74.00429,Private room,110,1,0,,
Firas,Manhattan,Midtown,40.75506,-73.96887,Entire home/apt,250,1,0,,
Alec,Brooklyn,Gowanus,40.67883,-73.98407,Private room,129,1,116,6/24/2019,2019
Luke,Manhattan,Two Bridges,40.71213,-73.99661,Private room,95,1,92,6/29/2019,2019
Gat,Manhattan,Upper West Side,40.79745,-73.96916,Entire home/apt,280,1,1,7/5/2015,2015
Jocelyn,Manhattan,Upper West Side,40.78587,-73.97181,Entire home/apt,200,7,3,8/21/2015,2015
Birgitta,Brooklyn,Park Slope,40.67619,-73.97726,Entire home/apt,276,3,19,7/2/2019,2019
Curtis,Manhattan,East Village,40.72378,-73.98385,Entire home/apt,130,3,26,1/20/2016,2016
Luis,Manhattan,Marble Hill,40.87494,-73.91057,Entire home/apt,40,3,2,2/1/2016,2016
Angela,Queens,Astoria,40.76273,-73.91316,Entire home/apt,122,6,0,,
Smit,Manhattan,Kips Bay,40.74025,-73.98323,Private room,64,3,4,4/13/2016,2016
Scott,Manhattan,Gramercy,40.73637,-73.98619,Entire home/apt,399,1,28,6/17/2019,2019
Sylvie,Manhattan,Chelsea,40.74068,-74.00346,Entire home/apt,495,5,8,11/23/2016,2016
Maeva & Aaron,Brooklyn,Clinton Hill,40.68672,-73.96376,Entire home/apt,145,2,2,8/10/2016,2016
Miriam,Brooklyn,Bushwick,40.68541,-73.91211,Private room,53,2,56,6/1/2019,2019
Kyoung,Queens,Sunnyside,40.74444,-73.92451,Entire home/apt,100,1,72,1/18/2018,2018
May,Brooklyn,Bushwick,40.70104,-73.91813,Private room,42,3,5,8/20/2017,2017
Mor,Manhattan,Upper East Side,40.77643,-73.95086,Entire home/apt,200,30,3,1/1/2018,2018
Emiliano,Brooklyn,Clinton Hill,40.68374,-73.96452,Entire home/apt,130,3,97,6/17/2019,2019
Chris,Manhattan,East Village,40.73249,-73.9887,Private room,200,30,8,10/22/2016,2016
Kim,Brooklyn,Prospect-Lefferts Gardens,40.65628,-73.95753,Private room,75,1,1,7/10/2015,2015
Tine,Brooklyn,Prospect-Lefferts Gardens,40.6608,-73.96197,Private room,45,14,9,4/6/2017,2017
Loli,Brooklyn,Bedford-Stuyvesant,40.68473,-73.946,Private room,52,2,110,7/1/2019,2019
Alex,Manhattan,Lower East Side,40.7188,-73.99452,Private room,100,1,1,8/10/2015,2015
Dorothy,Brooklyn,Greenpoint,40.72833,-73.94781,Entire home/apt,350,3,15,9/14/2015,2015
Vivian Yuen Ting,Manhattan,Washington Heights,40.83998,-73.94295,Private room,70,1,88,6/30/2019,2019
Camilla,Brooklyn,Bushwick,40.70104,-73.92278,Private room,39,4,4,12/17/2018,2018
Nicola,Manhattan,Upper West Side,40.77724,-73.97699,Entire home/apt,120,150,0,,
Alison,Manhattan,West Village,40.73507,-74.00826,Entire home/apt,239,2,6,1/1/2017,2017
Ross,Manhattan,Chinatown,40.71399,-73.99707,Entire home/apt,375,2,15,10/26/2016,2016
Julianne,Brooklyn,Williamsburg,40.71999,-73.94551,Entire home/apt,125,1,1,5/29/2015,2015
Anna,Brooklyn,Vinegar Hill,40.70098,-73.98211,Entire home/apt,375,14,0,,
Elle,Brooklyn,Bedford-Stuyvesant,40.68217,-73.9534,Private room,45,3,3,1/7/2018,2018
Ali,Queens,Long Island City,40.75405,-73.93717,Private room,60,7,1,10/1/2015,2015
Coral,Brooklyn,Crown Heights,40.67371,-73.92743,Private room,75,1,5,1/1/2019,2019
Jonathan,Manhattan,Harlem,40.83001,-73.94815,Private room,70,5,42,5/27/2019,2019
Justin,Bronx,Concourse Village,40.82809,-73.9159,Entire home/apt,65,4,107,6/24/2019,2019
Lisa,Manhattan,West Village,40.73314,-74.00835,Private room,250,2,0,,
Sasha,Manhattan,Two Bridges,40.71193,-73.99454,Private room,99,2,28,11/8/2018,2018
Jordan,Brooklyn,Williamsburg,40.70125,-73.94061,Private room,95,1,3,3/28/2016,2016
Daisuke,Queens,Ditmars Steinway,40.77915,-73.90902,Private room,46,7,0,,
Nikhil,Manhattan,East Village,40.72361,-73.98775,Entire home/apt,275,1,35,12/8/2017,2017
John,Queens,Forest Hills,40.72391,-73.84407,Entire home/apt,168,3,133,6/7/2019,2019
Ron,Brooklyn,Williamsburg,40.70956,-73.95328,Private room,45,31,3,8/5/2018,2018
Andres,Brooklyn,Bedford-Stuyvesant,40.69385,-73.9481,Entire home/apt,80,1,93,6/29/2019,2019
Laura,Manhattan,Upper West Side,40.78017,-73.98317,Entire home/apt,150,16,0,,
Akiea,Manhattan,Washington Heights,40.839,-73.94543,Entire home/apt,115,1,4,7/30/2015,2015
Candice,Brooklyn,Boerum Hill,40.68848,-73.99009,Private room,65,2,6,7/6/2016,2016
Nick And Jade,Brooklyn,Williamsburg,40.71258,-73.95556,Entire home/apt,201,2,175,7/1/2019,2019
Daliso,Brooklyn,Crown Heights,40.67704,-73.93955,Private room,55,7,0,,
Surabhi,Brooklyn,Williamsburg,40.70609,-73.95332,Private room,120,1,3,6/26/2016,2016
Alina,Queens,Astoria,40.77006,-73.93043,Private room,50,1,1,8/10/2015,2015
Robert,Manhattan,Chelsea,40.74476,-73.99862,Entire home/apt,100,4,4,1/3/2017,2017
Alana,Manhattan,Harlem,40.80645,-73.95261,Entire home/apt,100,14,2,1/7/2016,2016
Christopher,Brooklyn,Williamsburg,40.70745,-73.94223,Entire home/apt,59,7,9,6/12/2019,2019
Jarad,Brooklyn,Bushwick,40.69914,-73.93591,Shared room,44,5,27,8/14/2018,2018
Joshua,Brooklyn,Crown Heights,40.67725,-73.95994,Private room,79,5,3,10/16/2015,2015
Robbie,Brooklyn,Williamsburg,40.70933,-73.95577,Private room,56,3,2,6/13/2016,2016
Carole,Manhattan,Lower East Side,40.71983,-73.98801,Entire home/apt,140,5,8,6/14/2018,2018
Joshua,Manhattan,Murray Hill,40.74583,-73.97834,Entire home/apt,160,1,5,9/25/2015,2015
Michael,Brooklyn,Crown Heights,40.67766,-73.93934,Entire home/apt,119,4,91,6/21/2019,2019
Stacey,Manhattan,Lower East Side,40.7187,-73.99043,Entire home/apt,185,3,26,5/6/2017,2017
Phi Lee,Brooklyn,Prospect-Lefferts Gardens,40.65901,-73.96045,Private room,55,3,0,,
Elizabeth And Elias,Manhattan,Washington Heights,40.84543,-73.94283,Private room,58,1,148,6/12/2019,2019
Mo,Brooklyn,Williamsburg,40.70883,-73.94068,Private room,85,4,4,9/19/2015,2015
Kat,Brooklyn,Bedford-Stuyvesant,40.69435,-73.93294,Private room,100,1,1,6/9/2015,2015
Seth,Brooklyn,Crown Heights,40.67699,-73.95179,Entire home/apt,110,1,5,1/1/2016,2016
Billy,Manhattan,Chinatown,40.71489,-73.99168,Private room,80,5,1,5/25/2015,2015
Vie,Bronx,Eastchester,40.88241,-73.83422,Entire home/apt,115,1,6,6/30/2019,2019
Matthew,Brooklyn,Williamsburg,40.7105,-73.9451,Private room,99,4,58,5/27/2019,2019
Linda,Queens,Flushing,40.75348,-73.81785,Entire home/apt,105,2,204,6/24/2019,2019
Jennifer,Manhattan,Upper East Side,40.78396,-73.95218,Private room,110,2,3,12/27/2015,2015
Benjamin,Brooklyn,Bedford-Stuyvesant,40.69271,-73.94353,Private room,70,1,397,6/28/2019,2019
Mackenzie,Manhattan,Upper West Side,40.77883,-73.97494,Private room,160,1,7,5/21/2016,2016
Tim,Brooklyn,Bushwick,40.70746,-73.92054,Private room,150,30,10,2/28/2017,2017
Maurine,Manhattan,Upper West Side,40.78885,-73.98013,Entire home/apt,90,4,1,3/26/2016,2016
Ben,Brooklyn,DUMBO,40.70372,-73.9899,Entire home/apt,150,7,0,,
Michael,Brooklyn,Bedford-Stuyvesant,40.6833,-73.95162,Entire home/apt,86,30,10,5/31/2019,2019
Candace,Manhattan,Washington Heights,40.85516,-73.9378,Entire home/apt,200,1,2,6/27/2015,2015
Jason,Manhattan,Hell's Kitchen,40.76525,-73.99056,Entire home/apt,272,1,38,5/9/2019,2019
Yelena,Manhattan,Upper West Side,40.79169,-73.97498,Entire home/apt,86,1,5,9/23/2017,2017
Maeve,Brooklyn,Williamsburg,40.70885,-73.94927,Entire home/apt,200,5,0,,
Jonathan,Manhattan,Hell's Kitchen,40.75674,-73.99774,Private room,129,2,290,6/25/2019,2019
Bobi,Manhattan,East Harlem,40.80749,-73.93803,Private room,50,1,103,5/31/2019,2019
Sharmilli,Manhattan,Nolita,40.72066,-73.99566,Private room,95,4,1,6/11/2016,2016
Claire,Brooklyn,Cobble Hill,40.68477,-73.99825,Entire home/apt,400,6,5,7/16/2017,2017
Brooke,Manhattan,Financial District,40.70949,-74.01379,Entire home/apt,212,1,0,,
Kim,Brooklyn,Red Hook,40.67731,-74.0112,Entire home/apt,160,2,64,6/16/2019,2019
Barr,Manhattan,Upper West Side,40.79275,-73.97199,Private room,90,3,1,6/11/2015,2015
Gillian,Brooklyn,Clinton Hill,40.68404,-73.96714,Entire home/apt,145,6,17,5/30/2019,2019
Nate,Queens,Forest Hills,40.71345,-73.85658,Entire home/apt,125,2,44,6/30/2019,2019
Daniel,Manhattan,Upper East Side,40.78125,-73.94851,Entire home/apt,250,3,0,,
Erica,Brooklyn,South Slope,40.66632,-73.99013,Entire home/apt,100,3,100,6/25/2019,2019
Misha,Brooklyn,Sheepshead Bay,40.59225,-73.95026,Private room,75,1,8,5/15/2019,2019
Estelle,Brooklyn,Williamsburg,40.7103,-73.96622,Private room,75,4,2,6/13/2015,2015
Jay,Manhattan,Upper East Side,40.76313,-73.96192,Entire home/apt,195,3,0,,
Christopher,Brooklyn,Carroll Gardens,40.68303,-73.99686,Entire home/apt,125,14,2,10/26/2015,2015
Walter,Brooklyn,Bushwick,40.69528,-73.93079,Entire home/apt,85,1,208,7/6/2019,2019
Peter,Manhattan,West Village,40.73404,-74.00955,Entire home/apt,200,1,0,,
Hans,Manhattan,Upper East Side,40.76235,-73.9626,Entire home/apt,449,4,6,12/30/2018,2018
Mary Kate,Brooklyn,Williamsburg,40.71411,-73.95771,Entire home/apt,150,2,1,5/25/2015,2015
Gigi,Brooklyn,Williamsburg,40.71106,-73.94918,Entire home/apt,250,2,176,6/23/2019,2019
Elan,Brooklyn,Williamsburg,40.71599,-73.95539,Private room,100,28,0,,
Leah,Brooklyn,Bushwick,40.6971,-73.92046,Entire home/apt,120,2,56,7/4/2019,2019
Michael,Manhattan,East Village,40.72644,-73.97866,Private room,115,2,246,6/29/2019,2019
Jada,Manhattan,Chinatown,40.71762,-73.99328,Private room,89,4,3,9/29/2015,2015
Jeffrey,Manhattan,Greenwich Village,40.72846,-74.00113,Entire home/apt,180,3,2,5/31/2015,2015
Faye,Queens,Ditmars Steinway,40.77387,-73.91778,Entire home/apt,70,4,2,9/17/2015,2015
Giselle,Manhattan,East Harlem,40.79276,-73.93854,Private room,140,2,50,1/1/2019,2019
Nancy,Brooklyn,Canarsie,40.64548,-73.8949,Private room,37,5,72,5/28/2019,2019
Zuzi,Brooklyn,Clinton Hill,40.68384,-73.96042,Private room,70,1,4,10/26/2015,2015
Simon,Brooklyn,Williamsburg,40.71339,-73.95546,Private room,88,4,7,11/14/2015,2015
Simon,Brooklyn,Williamsburg,40.71408,-73.95708,Entire home/apt,320,4,56,6/23/2019,2019
Jeff,Manhattan,Kips Bay,40.74077,-73.98085,Entire home/apt,200,2,0,,
Alexander,Brooklyn,Gowanus,40.66683,-73.99308,Private room,55,1,1,6/16/2015,2015
Patrick,Manhattan,Midtown,40.74957,-73.98255,Entire home/apt,195,3,5,5/19/2018,2018
Ryan,Brooklyn,Williamsburg,40.70798,-73.95095,Private room,115,3,0,,
Joshua,Manhattan,Midtown,40.75545,-73.96896,Private room,125,1,0,,
Simon,Manhattan,East Harlem,40.80755,-73.94141,Entire home/apt,155,3,116,6/29/2019,2019
Casey,Manhattan,Harlem,40.80273,-73.95748,Entire home/apt,170,3,1,7/18/2015,2015
Lucas,Manhattan,East Village,40.72672,-73.98514,Private room,115,2,0,,
R.J.,Brooklyn,Prospect-Lefferts Gardens,40.66102,-73.96224,Entire home/apt,74,2,0,,
Luca,Brooklyn,Williamsburg,40.71532,-73.9442,Private room,100,1,0,,
Mark,Manhattan,Murray Hill,40.7487,-73.97358,Entire home/apt,125,2,21,12/30/2016,2016
Margrethe,Brooklyn,Midwood,40.61839,-73.95762,Private room,70,1,0,,
Danny And June,Brooklyn,Clinton Hill,40.69298,-73.96851,Entire home/apt,110,1,179,6/15/2019,2019
Neil,Brooklyn,Williamsburg,40.71161,-73.95957,Entire home/apt,395,4,9,5/12/2019,2019
Marek,Brooklyn,Williamsburg,40.71741,-73.95555,Entire home/apt,215,3,14,9/28/2018,2018
Kamilah,Brooklyn,Prospect-Lefferts Gardens,40.6566,-73.96162,Entire home/apt,150,2,17,5/19/2019,2019
Cristy,Manhattan,Gramercy,40.73235,-73.98392,Private room,295,3,22,12/30/2016,2016
Anisia,Brooklyn,Bushwick,40.69113,-73.91501,Private room,60,4,6,6/30/2019,2019
Viktoriya,Brooklyn,Gravesend,40.6075,-73.96763,Private room,55,1,135,2/2/2019,2019
Sarah,Queens,Sunnyside,40.7453,-73.92311,Entire home/apt,85,1,3,10/12/2015,2015
Alana,Manhattan,Washington Heights,40.84441,-73.94218,Private room,40,6,0,,
Matthew,Brooklyn,Park Slope,40.6761,-73.97509,Entire home/apt,200,1,0,,
Chao,Brooklyn,Bedford-Stuyvesant,40.68521,-73.93707,Private room,90,2,115,5/25/2019,2019
Olga,Manhattan,Upper East Side,40.77224,-73.94844,Private room,49,2,78,4/16/2018,2018
Frank,Manhattan,Washington Heights,40.84405,-73.93796,Private room,50,1,10,7/6/2019,2019
Felami,Brooklyn,Prospect Heights,40.67485,-73.9632,Entire home/apt,85,7,52,5/6/2019,2019
Jennifer,Brooklyn,Park Slope,40.67844,-73.98136,Entire home/apt,350,4,1,4/24/2019,2019
Sidra,Brooklyn,Flatbush,40.64876,-73.96279,Private room,38,30,2,8/26/2016,2016
Kate,Brooklyn,Carroll Gardens,40.67674,-73.99805,Private room,158,2,4,7/2/2015,2015
Matt,Manhattan,Chinatown,40.71507,-73.99033,Entire home/apt,245,4,27,5/18/2018,2018
Dave & Theresa,Brooklyn,Williamsburg,40.71323,-73.94699,Entire home/apt,110,3,137,7/3/2019,2019
Tiana,Manhattan,Harlem,40.82948,-73.94876,Private room,55,2,0,,
Lisa,Manhattan,Financial District,40.70516,-74.00798,Entire home/apt,275,1,0,,
Lisa,Manhattan,Harlem,40.82373,-73.95144,Private room,50,1,37,9/15/2016,2016
Freda,Queens,Ditmars Steinway,40.77077,-73.90903,Private room,45,6,4,6/15/2017,2017
A,Manhattan,Little Italy,40.71864,-73.99753,Private room,85,2,79,2/10/2019,2019
Debra,Brooklyn,Crown Heights,40.67255,-73.93328,Entire home/apt,150,1,24,6/22/2019,2019
Andreas Per Daniel,Manhattan,Midtown,40.76015,-73.96378,Entire home/apt,247,5,25,2/23/2019,2019
Eliana,Manhattan,East Harlem,40.80182,-73.94014,Private room,105,2,5,1/1/2019,2019
Ella,Manhattan,Financial District,40.71095,-74.00912,Entire home/apt,400,2,8,8/16/2018,2018
Chris,Queens,Astoria,40.7666,-73.92079,Entire home/apt,155,6,4,1/1/2017,2017
Nina,Manhattan,Midtown,40.75085,-73.98266,Entire home/apt,150,30,5,12/16/2018,2018
Olga,Manhattan,Inwood,40.86743,-73.92643,Entire home/apt,120,3,0,,
Champson,Queens,Elmhurst,40.734,-73.86596,Private room,69,1,14,10/27/2015,2015
Zachariah,Manhattan,Chelsea,40.73992,-73.99888,Entire home/apt,199,2,71,8/5/2017,2017
Meriem,Manhattan,Greenwich Village,40.72764,-74.00076,Entire home/apt,499,5,3,8/15/2015,2015
Ryan,Manhattan,Chelsea,40.74026,-73.99746,Entire home/apt,150,2,150,6/23/2019,2019
Sophie,Brooklyn,Park Slope,40.66753,-73.97747,Private room,300,1,0,,
Franky,Brooklyn,Williamsburg,40.72008,-73.94464,Entire home/apt,105,5,33,4/28/2019,2019
Freda,Queens,Ditmars Steinway,40.77209,-73.91082,Private room,45,6,25,1/3/2019,2019
Gan,Brooklyn,Sunset Park,40.65168,-74.00178,Entire home/apt,105,7,3,1/6/2016,2016
Costanza,Manhattan,Hell's Kitchen,40.7644,-73.99338,Private room,130,3,14,5/28/2019,2019
Shef,Manhattan,Greenwich Village,40.72986,-73.99468,Private room,75,2,4,11/2/2015,2015
Meredith & Dave,Brooklyn,Brooklyn Heights,40.7007,-73.99257,Entire home/apt,150,5,15,8/4/2017,2017
Vida,Brooklyn,Greenpoint,40.72583,-73.94177,Entire home/apt,159,30,3,8/7/2016,2016
Souheil,Brooklyn,Williamsburg,40.71515,-73.94798,Entire home/apt,100,7,15,12/16/2018,2018
Oleg,Brooklyn,Manhattan Beach,40.57872,-73.95251,Entire home/apt,145,4,59,6/17/2019,2019
Chloe,Manhattan,Upper West Side,40.79,-73.97318,Entire home/apt,220,2,13,8/25/2018,2018
Randy,Brooklyn,Bedford-Stuyvesant,40.68084,-73.93075,Entire home/apt,160,4,9,10/26/2015,2015
Myrdith,Brooklyn,Clinton Hill,40.68502,-73.96073,Entire home/apt,175,1,150,7/5/2019,2019
Goldwyn,Manhattan,East Village,40.72174,-73.98418,Private room,82,3,11,9/26/2015,2015
Joe,Manhattan,Upper East Side,40.77025,-73.95491,Entire home/apt,200,5,95,5/26/2019,2019
Jon,Manhattan,Midtown,40.76571,-73.98023,Entire home/apt,300,1,0,,
Kennedi,Manhattan,Murray Hill,40.74696,-73.9767,Entire home/apt,199,1,0,,
Brooke,Queens,Elmhurst,40.74525,-73.87627,Private room,85,2,188,7/4/2019,2019
McClain,Manhattan,Upper East Side,40.764,-73.9587,Entire home/apt,135,3,11,5/30/2016,2016
Jessica,Manhattan,Harlem,40.80571,-73.95429,Entire home/apt,150,3,2,8/6/2016,2016
Donovan,Brooklyn,Bedford-Stuyvesant,40.68579,-73.95535,Private room,65,2,49,6/14/2019,2019
Britt,Brooklyn,Williamsburg,40.71238,-73.96451,Entire home/apt,395,5,16,7/3/2019,2019
Ashley,Manhattan,East Village,40.72275,-73.98525,Entire home/apt,379,7,45,6/29/2019,2019
Milan,Manhattan,West Village,40.73408,-74.00263,Entire home/apt,250,2,5,9/20/2016,2016
El,Manhattan,Harlem,40.80454,-73.95133,Private room,90,2,11,7/1/2019,2019
Jaamil,Brooklyn,Bushwick,40.70154,-73.92154,Private room,40,10,22,5/16/2019,2019
Seán,Manhattan,Washington Heights,40.83771,-73.94638,Entire home/apt,200,2,1,6/30/2015,2015
Jessica,Brooklyn,Bedford-Stuyvesant,40.68997,-73.94205,Entire home/apt,133,2,49,6/24/2019,2019
Yelena,Manhattan,Upper West Side,40.79324,-73.97489,Entire home/apt,140,1,2,6/22/2015,2015
Elem,Manhattan,East Harlem,40.79726,-73.9329,Entire home/apt,100,30,12,3/22/2019,2019
Kyle,Brooklyn,Prospect-Lefferts Gardens,40.6587,-73.95911,Entire home/apt,85,2,2,3/4/2018,2018
Ted,Manhattan,Upper West Side,40.7837,-73.97851,Entire home/apt,385,30,0,,
Nelesi,Brooklyn,Flatbush,40.65208,-73.95341,Private room,50,10,0,,
Becky And John,Brooklyn,South Slope,40.6675,-73.98898,Entire home/apt,140,3,14,8/18/2016,2016
Whitney,Manhattan,Upper East Side,40.77499,-73.94875,Entire home/apt,120,1,1,6/29/2015,2015
Esther,Manhattan,East Village,40.72781,-73.9862,Entire home/apt,110,4,3,8/27/2015,2015
Olivia,Brooklyn,Williamsburg,40.71155,-73.94883,Private room,106,14,0,,
Leonarda,Manhattan,Harlem,40.81698,-73.95259,Entire home/apt,115,3,71,4/7/2019,2019
Ambrose And Florence,Queens,Arverne,40.59428,-73.78855,Entire home/apt,120,1,26,6/28/2019,2019
Michael,Queens,Arverne,40.59399,-73.79693,Entire home/apt,300,1,67,7/7/2019,2019
Leonit,Brooklyn,Sheepshead Bay,40.60078,-73.96527,Private room,59,1,5,1/3/2019,2019
Nick,Queens,Ditmars Steinway,40.77086,-73.89578,Entire home/apt,140,3,2,6/15/2019,2019
Jules,Brooklyn,Park Slope,40.66923,-73.98134,Private room,99,1,100,9/18/2017,2017
Nicole,Queens,Long Island City,40.75235,-73.93714,Private room,52,1,4,7/28/2016,2016
John,Manhattan,East Village,40.72152,-73.97761,Entire home/apt,125,1,4,9/4/2017,2017
Angelo,Queens,Corona,40.74826,-73.86755,Private room,150,2,0,,
Svjetlana,Manhattan,Harlem,40.82119,-73.95773,Private room,65,4,37,6/15/2019,2019
Joseph,Manhattan,Gramercy,40.73742,-73.98052,Entire home/apt,249,2,0,,
Connor R,Manhattan,Morningside Heights,40.80625,-73.96176,Private room,84,1,0,,
Sam,Queens,Astoria,40.77238,-73.92446,Private room,53,3,2,12/29/2018,2018
Dana,Manhattan,Midtown,40.75055,-73.98679,Entire home/apt,340,2,19,10/25/2015,2015
Grant,Brooklyn,Bushwick,40.70252,-73.9279,Private room,80,7,2,7/25/2015,2015
A,Brooklyn,Prospect-Lefferts Gardens,40.66153,-73.96241,Entire home/apt,75,5,0,,
Daniela,Brooklyn,Bedford-Stuyvesant,40.6832,-73.95455,Private room,80,3,131,7/6/2019,2019
Emeka,Brooklyn,Williamsburg,40.71145,-73.95302,Private room,78,2,1,6/16/2015,2015
Samantha,Brooklyn,Williamsburg,40.71834,-73.95867,Entire home/apt,149,30,35,5/17/2019,2019
Cynthia,Brooklyn,Fort Greene,40.68626,-73.97138,Private room,80,2,124,6/15/2019,2019
Stephanie,Brooklyn,Crown Heights,40.67191,-73.95265,Entire home/apt,115,5,1,8/23/2015,2015
Kirsten,Manhattan,Upper West Side,40.79909,-73.9602,Private room,90,1,185,7/7/2019,2019
Jeffrey,Brooklyn,Williamsburg,40.71839,-73.94329,Entire home/apt,175,3,10,1/5/2019,2019
Kate,Manhattan,Midtown,40.76622,-73.97783,Entire home/apt,350,1,0,,
L,Manhattan,East Village,40.72496,-73.98289,Entire home/apt,194,2,36,11/16/2016,2016
Patty,Manhattan,Chelsea,40.73963,-73.99898,Entire home/apt,175,4,5,1/5/2017,2017
Jerome,Manhattan,Chelsea,40.74218,-73.99963,Entire home/apt,350,14,0,,
Jennifer,Manhattan,Harlem,40.82553,-73.93875,Private room,63,1,6,5/18/2016,2016
Zach,Brooklyn,Park Slope,40.67289,-73.97129,Entire home/apt,150,7,4,8/6/2018,2018
Carol,Manhattan,West Village,40.73638,-74.00393,Entire home/apt,180,28,0,,
Clay,Brooklyn,Bushwick,40.69918,-73.92886,Private room,64,2,32,6/16/2019,2019
Peter,Manhattan,Greenwich Village,40.73399,-73.99305,Entire home/apt,185,2,52,1/1/2019,2019
Justin,Manhattan,Harlem,40.82589,-73.95094,Private room,80,2,126,6/19/2019,2019
Jodil H.,Manhattan,Harlem,40.81781,-73.9347,Entire home/apt,75,2,15,12/19/2018,2018
Jean,Staten Island,Tompkinsville,40.63489,-74.08592,Entire home/apt,105,3,69,6/16/2019,2019
Eli,Queens,Long Island City,40.74876,-73.94507,Entire home/apt,130,1,137,6/13/2019,2019
Mike,Manhattan,West Village,40.73626,-74.00181,Entire home/apt,264,2,5,1/1/2017,2017
Kt,Brooklyn,Bedford-Stuyvesant,40.68683,-73.95466,Entire home/apt,215,3,5,7/23/2017,2017
Bridget,Manhattan,Upper East Side,40.77323,-73.95567,Private room,85,20,2,9/27/2016,2016
Fareed,Queens,Ridgewood,40.70503,-73.91433,Private room,35,2,0,,
Freda,Queens,Ditmars Steinway,40.77209,-73.91096,Private room,50,6,11,5/31/2019,2019
Penny,Brooklyn,Red Hook,40.67811,-74.00606,Entire home/apt,145,7,2,9/1/2015,2015
Erica,Manhattan,Lower East Side,40.71908,-73.99446,Entire home/apt,150,3,2,1/1/2016,2016
Angeline,Brooklyn,Prospect Heights,40.6815,-73.97309,Entire home/apt,175,2,10,12/28/2015,2015
Jonathan,Bronx,Longwood,40.82639,-73.90363,Private room,680,1,0,,
Bishal,Manhattan,Chelsea,40.74574,-73.99226,Entire home/apt,900,3,13,1/20/2016,2016
Robert,Brooklyn,Williamsburg,40.70608,-73.93223,Private room,95,1,0,,
Dan,Brooklyn,Williamsburg,40.70306,-73.93629,Private room,60,4,87,6/27/2019,2019
Sophie,Brooklyn,Bay Ridge,40.62487,-74.02949,Private room,70,30,54,6/30/2019,2019
Joe,Manhattan,Upper East Side,40.77205,-73.95339,Entire home/apt,240,5,82,6/8/2019,2019
Eleanor & Greg,Brooklyn,Bushwick,40.70755,-73.92277,Entire home/apt,150,3,16,9/2/2018,2018
Michel,Manhattan,Washington Heights,40.85509,-73.93744,Entire home/apt,150,30,0,,
Adrianna,Manhattan,Upper West Side,40.7791,-73.98565,Entire home/apt,175,1,4,6/11/2016,2016
Henry,Manhattan,Upper West Side,40.79222,-73.96445,Entire home/apt,1000,30,27,5/4/2017,2017
Bee,Brooklyn,Bedford-Stuyvesant,40.68584,-73.92294,Private room,48,1,0,,
Stephanie,Brooklyn,Williamsburg,40.70313,-73.93566,Private room,42,8,1,9/8/2015,2015
Elizabeth,Manhattan,Washington Heights,40.85133,-73.93844,Private room,80,2,18,5/31/2019,2019
Gloria,Brooklyn,Crown Heights,40.67569,-73.95563,Entire home/apt,150,5,15,6/12/2018,2018
Karen,Manhattan,Battery Park City,40.7101,-74.01721,Entire home/apt,195,7,2,8/16/2015,2015
Gregory,Brooklyn,Bedford-Stuyvesant,40.68258,-73.93893,Entire home/apt,145,3,130,7/6/2019,2019
L & A,Manhattan,Harlem,40.8179,-73.9539,Private room,75,2,52,3/8/2017,2017
Vasilios,Queens,Long Island City,40.75628,-73.92072,Entire home/apt,85,7,0,,
Maria,Brooklyn,Williamsburg,40.70723,-73.95515,Entire home/apt,90,2,85,6/9/2019,2019
Drew,Brooklyn,Bedford-Stuyvesant,40.68527,-73.95307,Private room,53,2,11,4/11/2016,2016
Meagan,Manhattan,East Village,40.72872,-73.98639,Entire home/apt,155,2,36,1/2/2019,2019
Maria,Brooklyn,Williamsburg,40.70664,-73.95399,Private room,49,3,13,7/24/2017,2017
Ksenia & Masha,Brooklyn,Bedford-Stuyvesant,40.677,-73.91677,Private room,78,3,108,5/30/2019,2019
Arielle,Manhattan,East Village,40.72854,-73.98118,Private room,100,1,0,,
Nicholas,Brooklyn,Bedford-Stuyvesant,40.67922,-73.95383,Private room,85,1,0,,
Michael,Queens,Long Island City,40.7583,-73.9315,Private room,225,1,0,,
Jaclyn,Brooklyn,Williamsburg,40.71329,-73.96232,Private room,199,1,2,1/4/2018,2018
Anthony,Manhattan,Greenwich Village,40.72911,-73.99915,Entire home/apt,350,2,34,1/1/2017,2017
Ruby,Manhattan,Harlem,40.82033,-73.95632,Entire home/apt,120,1,3,7/28/2015,2015
Nanda,Queens,Ozone Park,40.6904,-73.83727,Private room,70,2,114,6/28/2019,2019
Susan,Manhattan,Upper West Side,40.8017,-73.96991,Entire home/apt,250,15,0,,
Rebecca,Manhattan,Midtown,40.76539,-73.97897,Private room,180,2,62,5/25/2019,2019
Megan,Brooklyn,Park Slope,40.67326,-73.98077,Entire home/apt,145,7,1,7/1/2015,2015
Ahna,Manhattan,Inwood,40.86719,-73.92679,Entire home/apt,130,2,0,,
Natasha,Queens,Arverne,40.58977,-73.79498,Private room,149,1,56,7/6/2019,2019
Lauren,Manhattan,Upper West Side,40.80133,-73.96574,Private room,60,4,5,7/22/2015,2015
